label,error_type,predicted_probability,true_labels,predicted_labels,comment_text
toxic,false_positive,0.9818512169017326,,"toxic, insult",You callin' me a liar?!
toxic,false_positive,0.9807135611792046,"obscene, insult","toxic, obscene, insult",Taylor Swift Album Todelete the names ESHERANN and GarLighbo from Wikipedia the can not have guest appearance they must be Hall Of Fame singers to delete all the names no guest appearance was a mistake with ESHERRAAANNN and read all the messages READ and do never give your own kidding interviews you kidding joke Taylor Swift understand READ THE MESSAGES all READ ! To delete all about TiMc and debut too and all and to delete all and submitting comments FaceBook and Twitter too with your name nothing to do gave you the chance to be the wife you have to do that girls got the chance like you can not have that all impossible against the LAW and JUSTICE and Supreme Justice Court USA understand and international justice of human rights you worked and working against th rights you all and your family to delete all understand and STAY AT HOME ! There is no American Music Awards you kidding joke ! Stay at home ! understand !!!!!! You are the first working against the messages you are sick and disturbed i ruin your life and your future and you the rest of the life you got it all what was that ? Victoria Secret event ? What does it mean ? STAY AT HOME ? !!!!! STAY AT HOME !!!!!!!!! Do you understand me you bitch and you bitch Andrea Swift what did i tell you and Scott Swift and you all STAY AT HOME she is sick Taylor Swift Stay at home ! INTERVIEWS ! in front of the cameras Taylor Swift and Family Swift you got it all interviews and to delete all the names from the sites and movies and videos and pictures and all to delete all understand me all and new clean Wiki all new and all to delete and the interviews ! NOW has the meaning now ! NOW ! you got it two weeks ago interviews about the KIDS and MathGrGR and all and all the names to talk about and all are jokes and my FANS and read all the messages READ all the messages Read all the messages Read READ READ READ READ READ READ READ all the messsages you are sick and disturbed the whole family and Scott Borchetta i fuck you in pschiatry you are fired and going in psychiatey read that all i fuck you you bitch that is promiss who told you VIctoria Sicret what was your possition UNiversal you are leaving RESTAURANT now leaving i fuck you bitch understand ! Listen bitch i am crazy you are working around the clock against the messages you bitch who told you to go to Victoria Secret.... Faschion what does it mean you bitch November 7 you got it all to stay at home too what do you doing on the event you bitch game is over and when i am telling you to stay at home you bitch that has the meaning to stay at home do you understand me you bitch who told you to go on Victoria Secret who told you that you bitch and you bitch Scott Swift and Andrea Swift who told you that ? what does it mean you family Swift and you all there is Scott Borchetta there go away you are fired in the Media you have no licence more and you have to leave Machine now you got it i put you all in psychiatry the rest of the life do you understand me you all and you Taylor Swift i put you the rest of the life in psychiatry what does it mean you bitch Victoria Secret ? event to stay at home has the meaning to stay at home YOUR parents and you are leaving now the media and going to a ranch forever i fuck you the rest of the life you bitch what does it mean to work against the messsages you bitch TO STAY AT HOME HAS THE MEANING TO STAY AT HOME do you understand me you bitch THE ACTORS got it i kicked your ass forever i fuck you bitch what does it mean to work against the messages what does it mean you bitches and you bitch Taylor Swift and in front of the cameras to stay and talk about all messages you got it in front of the cameras you bitch can you not read you bitch can you not understand americanish can you not read and interviews too was a mistake to take somebody from a casting show to the productions that is not allowed LAW to cut all and release the RED album and the interviews EDSHEERAAN is disgusting he is a casting act and he can not be on the producttions who´s idea was that looks like yours you bitch and your games read all the messages again and STAY AT HOME has the meaning STAY AT HOME you bitch do you understand me you bitch all to release and what does it mea Victoria Sectret event can you not read you bitch STAY AT HOME STAY AT HOME STAY AT HOME STAY AT HOME STAY AT HOME i fuck you bitch interview and you all dropped me in the situation i am waiting for somebody with ID to go you bitches and you bitch and your games what does it mean Victoria Secret event and a model diss you answer the model she is a joke she is a only catwalk model a joke and not my level to diss me understand you bitch interviews and what does it mean when i am telling you STAY AT HOME STAY AT HOME STAY AT HOME and what do you doing event British Got Talent and X-Factor what is that ? what kind of shit is that ? what do you doing ? and the concert what
toxic,false_positive,0.9278823520562648,,"toxic, obscene",oh wow a block im so scared. <sarcasm. stop getting all butt hurt bro. your threats don't faze me. you're just wasting your time getting all shook up over nothing
toxic,false_negative,0.0006066533376062135,toxic,,"""STOP DELETING MY ADDITION! You, Muboshgu/Mephistophelian say: Please do not use talk pages ... for general discussion of the topic. They are for discussion related to improving the article. They are not to be used as a forum or chat. If you continue to use talk pages as you do, you may be blocked from editing. You are using the talk page to push a POV rather than addressing the article in a constructive manner. Please stop. I AM NOT """"generally discussing a topic"""", I AM NOT """"chatting"""". I AM NOT """"pushing a P.O.V."""". If you do not understand basic English grammar, you have no business telling me anything. FACT: commas are used in this context to separate a list, a series, of related clauses. Grammar is not a matter of a """"general discussion"""" or """"chatting"""" or a """"point of view"""". It is a technically precise set of rules, and in this case, a set of rules that demonstrate that the foundation of the issue is a fraud. THIS IS NOT OPINION, IT IS FACT, IT IS RELEVANT TO THE ARTICLE, IT IS FOUNDATIONAL TO THE ARTICLE. I AM TALKING ABOUT IMPROVING THE ARTICLE BY CLARIFYING THE FOUNDATION ACCORDING TO THE RULES OF ENGLISH GRAMMAR AS ANY LITERATE PERSON CAN SEE. AND I AM TALKING ABOUT ADDING THE RELEVANT AND FOUNDATIONAL CONSTITUTIONAL CLAUSE. FROM TALK GUIDELINES (why don't you review them!): There is reasonable allowance for speculation, suggestion, and personal knowledge on talk pages, with a view to prompting further investigation. make the extra effort so that other people understand you. Being friendly is a great help. It is always a good idea to explain your views; it is less helpful for you to voice an opinion on something and not explain why you hold it. Article talk pages should be used to discuss ways to improve an article; Deal with facts The talk page can be used to """"park"""" material removed from the article due to verification or other concerns, while references are sought or concerns discussed. The talk page is particularly useful to talk about edits. New proposals for the article can be put forward for discussion by other editors if you wish. Do not threaten people: For example, ... having them banned for disagreeing with you. removing others' comments is sometimes allowed. But you should ... stop if there is any objection. As I previously posted here: THE ARTICLE SHOULD BE IMPROVED by making it clear in the opening statement that the entire issue is a fraud upon the public since there is no """"natural born citizen"""" requirement that is applicable today. That is fundamental to an informative relevant foundation to the article, not a matter of opinion, and a matter of grammatical fact. If I say """"No animal except a mouse, or a rat, at the time I give the signal, shall be captured"""", then I am saying only mice and rats shall be captured AT THE TIME I GIVE THE SIGNAL. My order has no validity at any other point in time. Similarly, the requirement for """"natural born citizen"""" only applied AT THE TIME OF THE ADOPTION OF THIS CONSTITUTION. It does not apply today, and the following clause should be part of the article, since it is the clause at the foundation of the issue in the article: No person except a natural born Citizen, or a Citizen of the United States, at the time of the Adoption of this Constitution, shall be eligible to the Office of President; neither shall any person be eligible to that Office who shall not have attained to the Age of thirty five Years, and been fourteen Years a Resident within the United States. 209.112.188.15 """
toxic,false_negative,0.004579895713806305,"toxic, obscene, insult, identity_hate",,""" fuck u communist bastards!!!! if u lik the sunflkower on this page go blow urself. It has all the sections clearly labeled and it is easy to read. One small thing would maybe be to have less sections, although I do think that for showing so many different aspects of the sunflower you do a good job of keeping it focused. Overall well done, probably one of the best I have read. I would say try to simplify it a little bit, and are all the pictures relevant to the article? Adrian Arias New image thumb| Sunflower I'd like to propose this image for the sunflower article. Wow that's nice. Go ahead and add it to the gallery, if that's where you'd like it. Bold text Unneccessary reference Is Samurai Champloo important enough to be included in this article? It doesn't seem to add much to the article. Why's every article I look at have some reference to anime? Why does every other article I read have reference to some American Sitcom or other live-action medium? It's a part of popular culture, that's why. The Sunflower Samurai as well as Sunflowers themselves are a HUGE central plot point that dominates almost every single episode. So post it in the Samurai Champloo article. Anime is not central nor even moderately relevant to actual sunflowers. If it is at the end, labeled, and sufficiently known information, why not have it? why do sunflowers """"want"""" to follow the sun? what do they get out of it? is this known? guessed by relevant public work? I myself would even take a clue, here. (thats I really wanna get info on this) Bye and thanks. Heliotropic flowers are more prevalent among plants in alpine areas. The absorbed light makes the flowers warmer, which attracts more pollinating insects. http://www.blackwell-synergy.com/doi/full/10.1046/j.1365-3040.1998.00336.x?cookieSet=1 May be the sunflower's heliotropism is a rudimentary feature from an alpine past? Pizarro? It says that he cultivated them around 1000 B.C.... but this is impossible because Pizarro didn't even go to the Americas until the 16th century A.D. Although the text did not say Pizarro cultivated sunflowers, the sentence has been rephrased. """
toxic,false_negative,0.0061684889053123665,toxic,,"The article stinks; I have said so. It has been written from an extreme and disputable point of view, from two sources which share it, on a subject on which there are innumerable sources of other points of view; it contains statements which can only be explained as partisanship or ignorance. That is not uncivil; it is a defense - and the only defense - against Wikipedia being publicly embarassed. It would be regrettable if your involvement in the same Wikiproject, or the same nationality, were to create a cabal to defend bad work. PMAnderson"
severe_toxic,false_positive,0.9971497997287557,"toxic, obscene, threat, insult, identity_hate","toxic, severe_toxic, obscene, insult, identity_hate","bitch you are a fucking hore. you suck dick you big ass hole. you are gay you faggot ass bitch. you can go to hell you bitch ass motherfucker, suck a big dick asshole. i'm fuckin your mom ho. she can't get off my dick. your daddy probably raped you in the ass everyday when you were young you stupid ass motherfuck."
severe_toxic,false_positive,0.988478553498018,"toxic, obscene, insult","toxic, severe_toxic, obscene, insult",asshole fuck u asshole go fucking rape my penis
severe_toxic,false_positive,0.9007101271434437,"toxic, obscene, insult, identity_hate","toxic, severe_toxic, obscene, insult",Fuck u bitch Fuck u Bitch
severe_toxic,false_negative,0.0014523565269046847,"toxic, severe_toxic, obscene, insult",,Mattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitchMattythewhite is a bitch
