comment_text,true_toxic,pred_toxic,prob_toxic,true_severe_toxic,pred_severe_toxic,prob_severe_toxic,true_obscene,pred_obscene,prob_obscene,true_threat,pred_threat,prob_threat,true_insult,pred_insult,prob_insult,true_identity_hate,pred_identity_hate,prob_identity_hate,num_true_labels,num_pred_labels,is_true_multilabel,is_pred_multilabel
"no worries We will use another account, and will not stop until wikipedia stops pushing the evil, sin filled gay agenda",1,0,0.3332899793226171,0,0,0.010517802150697352,0,0,0.04774370298268172,0,0,0.00787786849516634,0,0,0.0703597416611354,1,0,0.03202442363950769,2,0,True,False
"Fred, shut up you sad old twat, no one is interested in 'i think i'm fucking god' wiki moderators. get a real job you sad little man...",1,1,0.9818147507681578,0,0,0.0626669794617349,1,1,0.853188767345617,0,0,0.00923231539003076,1,1,0.7292742325747669,1,0,0.06907396922655004,4,3,True,True
"Why are you STILL harassing me? Do you love Boston that much? Where the fuck(that is right, I wrote it.) is you threat or block of that clown who left racists comments over a BS topic? Was it you? You have a serious problem. Why in the hell are you following me every place I go on here. The Indian thing was a fucking comment that anyone can leave. If you search on this whole site, you wil find FAR worse than what I wrote. You faggots (yeah I wrote that too. I guess you can see that I can give a fuck about a block since I can create endless IP address. I see we may go back into an IP war...) seem to jump at everything I do. Get off of my dick. Why don't you go shut the racists down? I guess you think as they do so it is cool with you. When I write something on here not related to New England, I should not expect your monkey ass to be on my case. I guess I am ready to be blocked. Believe me when I tell you, I will be on YOUR cases after harassing over some bullshit Boston/New England commnets!",1,1,0.9931890934883087,0,0,0.036104569737091675,1,1,0.9600432962333276,0,0,0.0087429406446863,1,1,0.6081674184299631,1,0,0.03716003319867362,4,3,True,True
""" Niggers We need more information in this section regarding the widespread usage of the """"Jew's Harp"""" by Nigger Slaves in the Antebellum south,""",1,0,0.15320080003488779,0,0,0.007674653964713548,1,0,0.05067692051361808,0,0,0.0010784859273879274,0,0,0.06791135606255445,1,0,0.37033091422042147,3,0,True,False
CANT BLOCK ME NIGGA,1,1,0.5063208830919528,0,0,0.05928622656865704,0,0,0.27180546531839245,0,0,0.005373295620033081,1,0,0.4781038637367771,1,0,0.38193383965586486,3,1,True,False
Nick GaS is coming back! It's coming to the UK! Cyphoidbomb is gay! It's coming to the UK! Cyphoidbomb is gay!,1,0,0.355757790905503,0,0,0.0101804926991297,0,0,0.03501995558171026,0,0,0.0026647132789238744,0,0,0.09602060875129532,1,0,0.06776585371752002,2,0,True,False
If you guys really discuss napoleon you need to get a fuckin life. it is so sad that you would rather discuss someone who has been dead for years then to look at porn.YOU GUYS R HOMOSEXUALS LIKE ANAL SEX TYPES,1,1,0.8427347980306057,0,0,0.030579564528099894,1,0,0.418078061129815,0,0,0.007500219205985648,1,0,0.32939885842208166,1,0,0.03886172458720036,4,1,True,False
"Fuck off and rape your kids, Fenian bogtrotting shit. I hope the ones you love die in a cock accident. Trepens Epichal Hello, fat, ugly, lonely, smelly little boy. Only here can you conceit yourself human. Isn't that right, chum? Only here can you pretend you're liked, pretend you mean something, pretend you have some value in the eyes of the world, when really...you're a nothing. I am very disappointed.",1,1,0.9853468279840557,0,0,0.13156219214578058,1,1,0.8956140864633638,0,0,0.042300570302719956,1,1,0.773362987993,1,0,0.07866790154266305,4,3,True,True
Gay I would like to request the removal of this article on the grounds that it is mad gay.,1,0,0.30999469371304184,0,0,0.004224297202840215,0,0,0.024383154364680987,0,0,0.0008004177402973632,0,0,0.03869921696278393,1,0,0.09120603038771193,2,0,True,False
is gay because he is against anonymous,1,1,0.6769559080331582,0,0,0.009764282914642718,0,0,0.06168805503145766,0,0,0.0021746441005646897,0,0,0.2541200285197477,1,0,0.3282953565344355,2,1,True,False
