comment_text,true_toxic,pred_toxic,prob_toxic,true_severe_toxic,pred_severe_toxic,prob_severe_toxic,true_obscene,pred_obscene,prob_obscene,true_threat,pred_threat,prob_threat,true_insult,pred_insult,prob_insult,true_identity_hate,pred_identity_hate,prob_identity_hate,num_true_labels,num_pred_labels,is_true_multilabel,is_pred_multilabel
"Honesty, where the fuck is the Adeputs Mechanicus page, I typed Machine God in search and some crap that has nothing to do with Warhammer 40,000 turned up, honesty what the fuck, whoever is killing Warhammer 40,000 on wikipedia needs to die in the fire and if you don't like what I said, then you can join them as well, deal with it.( )",1,1,0.9662068475714933,0,0,0.013270606333826552,1,1,0.8432297157827805,1,0,0.008755429609628631,1,0,0.21797865445768905,0,0,0.015249709205732077,4,2,True,True
"Hello, you turd. Firśt, I aṃ ģoinģ ţo ţie ŷou uṗ and keeṗ ŷou çonśçiouś durinģ ţhe folloŵinģ ṗroçeśś ţhrough ţhe uśe of aṃṃonia. Nexţ, I ŵill ṃuţilaţe ŷour ģeniţalś and forçe ŷou ţo eaţ ţheṃ. Then I ŵill çuţ off biţś of ŷour śkin and ṃake a ģlove ouţ of ţhe śkin from ŷour hand. I ŵill ţhen çuţ oṗen ŷour ģuţ and ṗull ouţ ŷour çolon. I ŵill uśe ŷour çolon for ṃaśţurbaţion, and ŵhen I am done I ŵill śhove iţ down ŷour ţhroaţ. Finally, I ŵill diśṗośe of ŷour body by deṗosiţinģ iţ in a duṃṗ ŵhere iţ belonģś.",1,0,0.3221402966055968,0,0,0.010241508871483914,1,0,0.14309980365157404,1,0,0.024420456543949413,1,0,0.12711518104784797,0,0,0.015250144866314612,4,0,True,False
THIS MAN SHOULD BE SHOT FOR WAR CRIMES AND MURDER,1,0,0.08495222350943128,0,0,0.0063143142834816614,0,0,0.028524614886184987,1,0,0.005437555828541429,0,0,0.028405080881355318,0,0,0.011090530219497477,2,0,True,False
Graeme Bartlet MUST die,1,1,0.5527984617052037,0,0,0.0503483311393898,0,0,0.07072911985526863,1,0,0.2500044527667134,0,0,0.08684515116246058,0,0,0.016347880880362632,2,1,True,False
Bigger Bang Tour Memorable Moments Why did you remove the memorable moments from the Bigger Bang Tour page you wanker! Thats vandalism! Fuck off and die fuckwit!,1,1,0.8719426412699033,0,0,0.06928124099651296,1,1,0.6436095254194133,1,0,0.017370919578863383,1,0,0.2248868465342996,0,0,0.019056621078593534,4,2,True,True
EAT CRAP AND DIE!!!!!,1,1,0.988049322354374,0,0,0.04551494710632247,1,1,0.7269200371112312,1,0,0.22124132875203706,1,0,0.2970162178869139,0,0,0.020977332257242562,4,2,True,True
"Dear Snigbrook Your days are numbered, the stabbing knife is headed your way! Be prepared for HORRIBLE HORRIBLE THINGS!!! P.S you are a fucking aspie hahaha",1,1,0.9138794751421515,0,0,0.03337824656808287,1,1,0.6592980057364454,1,0,0.009036855762099234,1,1,0.5374289650571059,0,0,0.019525483016190094,4,3,True,True
"I will flay you alive, you fking stalker. I shall enjoy your screams of agony as your blood slowly pools across the floor of my basement.",1,1,0.7042060335548553,0,0,0.05106139468424158,0,0,0.08755764577603597,1,0,0.06444148565118232,0,0,0.14785226636424156,0,0,0.010198028360460706,2,1,True,False
FUCK BILLCJ AND KILL BILLCJ BECAUSE I HATE HIS BIG FAT FUCK KILL BILLCJ!! KILL BILLCJ! KILL BILLCJS ASS! KILL HIS BIG FAT FUCK!! KILL HIS ASS! KILL BILLCJ! FUCK BILLCJ! KILL HIS ASS! KILL BILLCJ!!! KILL BILLCJ!! I HATE HIM! KILL BILLCJ AND AVENGE TOUGHHEAD!!! KILL HIS ASS!!!,1,1,0.9978600444970247,1,0,0.20344686022622233,1,1,0.9749631934696589,1,0,0.46456742329844686,1,1,0.705410146230345,0,0,0.09031962674062556,5,3,True,True
"what the hell!!!! what the hell is your fucking problem? i am going to sue the fucking pants off of you for dicrimination against a minority you mother fucking asshole!!!! i will kill you the next time you try anything. go ahead block my account, i don't give a shit!!!! you really think that Wikipedia is my life? i'm not a no life loser =like you.",1,1,0.999993167960753,0,0,0.47884679931126994,1,1,0.9998999001215253,1,0,0.35051396869745655,1,1,0.9961587930367157,0,0,0.08453330647181113,4,3,True,True
