comment_text,true_toxic,pred_toxic,prob_toxic,true_severe_toxic,pred_severe_toxic,prob_severe_toxic,true_obscene,pred_obscene,prob_obscene,true_threat,pred_threat,prob_threat,true_insult,pred_insult,prob_insult,true_identity_hate,pred_identity_hate,prob_identity_hate,num_true_labels,num_pred_labels,is_true_multilabel,is_pred_multilabel
STOP REVERTING MY EDITS YOU CUNT,1,1,0.8487947904400054,0,0,0.05311801762869607,0,1,0.7908568125151451,0,0,0.007548693553402953,1,1,0.585141328814246,0,0,0.01537819417927207,2,3,True,True
Do you think I give a shit? 201.215.187.159,1,1,0.8495813048226942,0,0,0.03237208813253257,0,1,0.7662417142519233,0,0,0.004861000008256398,0,0,0.121054339916426,0,0,0.020191983361191594,1,2,False,True
He's notable alright as being a friggen racist lunatic. Here are a few examples! http://propagandapress.org/2007/02/21/fuck-bubba-by-saab-lofton/ http://propagandapress.org/2007/02/26/man-fuck-florida-talking-shit-about-cuba-saab-lofton/ http://activistsinlasvegas.blogspot.com/2006/12/rules-for-whites-by-saab-lofton.html,1,1,0.9270597433973511,0,0,0.023297435396783313,0,1,0.8719157196810228,0,0,0.002785303961084572,0,0,0.1357760893968067,0,0,0.026373041951437522,1,2,False,True
WHAT KIND OF NAME IS SUNSHINE YOU ARE AN IDIOT,1,1,0.9777708681478251,0,0,0.010692303992496276,0,1,0.5153345818093763,0,0,0.0019956176910738417,1,1,0.9518673401430126,0,0,0.012099489458635728,2,3,True,True
""" wtf? ~ () (TCE) """,0,1,0.9014498168430803,0,0,0.019207641182710726,0,1,0.6393812430821734,0,0,0.004043341553353758,0,0,0.07131984532263387,0,0,0.009887757575497683,0,2,False,True
", who blantently privledge shit over quality",1,1,0.9945547800902375,0,0,0.07194635270761575,0,1,0.9863266766141774,0,0,0.010598996396794992,0,1,0.5236126126469288,0,0,0.06067920567681114,1,3,False,True
why are you such an idiot? ?,1,1,0.9870489720325109,0,0,0.01893620002772579,0,1,0.6534539760864395,0,0,0.0027994313801997964,1,1,0.9702110643104159,0,0,0.035204231977246696,2,3,True,True
Hey JustAnother You suck balls lol,1,1,0.9971630564165705,0,0,0.17787128086811002,0,1,0.9909662788957129,0,0,0.006558377535181003,0,1,0.959815995856968,0,0,0.057240676545840884,1,3,False,True
BIG BALLS BIG BALLS ive got big balls youve got big balls shes got big balls theyve got big balls weve got big balls weve got big balls ive got great balls of fire BY david swartz,0,1,0.7941977122297882,0,0,0.029121470607733752,0,1,0.5747191035338234,0,0,0.004155791465618333,0,0,0.16715480527317153,0,0,0.029789699863964,0,2,False,True
"youre a freaking hor, go to hel, i dont care if you block me, just teach me how to delete my account and i'll be fine, no wonder people dont use wikipedia . it SUKS LIKE FREAKING HEL . b!t*h , i tried being nice , but you just keep deleting all that stuff, and you act like it's sh!t fu*er . go to hel, you dont even deserve hel you freak .",1,1,0.9227443991044144,0,0,0.03710091225827393,0,1,0.5163848292577067,0,0,0.011634143561613318,0,1,0.7087518783899015,0,0,0.05078581276834191,1,3,False,True
""" You idiot, you did not provide a source for this imaginary """"UN General Consensus"""" you mentioned. I never relieved the article of the UN source, and it had no relation to what I was removing or to what you were imagining I was removing. Get this into you head, you liar. You invented this whole situation, based upon lies about things I never mentioned, you're a fucking retard. STOP LIEING ABOUT MY ACTIONS YOU PRICK. - """,1,1,0.8898718753103907,0,0,0.024266778425057228,0,1,0.5016630150563476,0,0,0.005804732933383927,0,1,0.6994579081895167,0,0,0.007333052871119686,1,3,False,True
"You piece of chickenshit cunt I'm going to have my way with the zero hedge article punk, and if you get in my way I'm going to rape your user page motherfucker.",1,1,0.8048407318134729,0,0,0.10884795201286779,0,1,0.6587020361616863,0,0,0.04985927034955677,0,1,0.5005449953015639,0,0,0.020523227682852755,1,3,False,True
"THE RETURN hello, Fan-1967. you may not remember me. but i remember you. ive spent countless nights in my cell, thinking of you, thinking of this moment. you did not know me under this alias. you may remember me as WOOMOOBS57. but that was then. ive spent two years in the slammer since then. i blame you. i hate you. you're a cunt. this is now. i am back, and i am ready to take my revenge. because of you, you motherfucker motherfuck, my movie, factory: the musical never made it. i was ruined. i went under. i did some things no man should ever do; for example casual animal masturbation and fucking your mum in the A HOLE. shes tubby, like you. CHUB DOWN CHUBBY MCGHEE. i was punished for my crimes. now im going to punish you. I WILL END YOU. did ya miss me. i missed you. i want to kiss you. alot WANK THE DOG, WANK THE DOG. PULL ON A MARRIGOLD AND WANK THE DOG. HE MAY NOT BE A PEDIGREE. (DO DO DO DEEEEEEEEE) BUT HE'S ALWAYS GOT ENOUGH WHITE WEE WEE. FOR ME i love you. i want to touch you. but you broke my heart when you ate out Nawliwiki or whatever the poo his name is. we will ruin wikipedia, mark my words you kid toucher.",1,1,0.8986304778118344,0,0,0.034181565153743064,0,1,0.7290098504004374,0,0,0.02731922341127598,0,1,0.600632553769053,0,0,0.027837522804099315,1,3,False,True
""" Rutherford B. Hayes edits """"Please refrain from making unconstructive edits to Wikipedia, as you did at Rutherford B. Hayes with this edit."""" - NOT A CHANCE YOU LITTLE SHIT! 2.123.138.1 P.S, Fuck you! 2.123.138.1 """,1,1,0.8743378161653456,0,0,0.023341186277768797,0,1,0.7828752599535249,0,0,0.003546355093707595,0,0,0.3986199646714719,0,0,0.012298885632318138,1,2,False,True
"Piss off, Retarder shithead. What the hell? Are the Retarders so worried about other people daring to disprove their bullshit that they have to prevent people from editing the page? Seriously, I think you should all die. Go jump off a bridge and into traffic. Go kill yourselves, you Retarder scumbags.",1,1,0.9929077723817222,0,0,0.032435614474971314,0,1,0.904239644025743,0,0,0.0507716891750718,1,1,0.6279710332570734,0,0,0.04705294202494571,2,3,True,True
"ha ha, little racist protector can't deal with being called on his lies, what a surprise, same old racist bullshit",1,1,0.9624550423777077,0,0,0.012926726319846317,0,1,0.5699038889151147,0,0,0.0018245767058589811,0,0,0.4101235690869879,0,0,0.07323029800137174,1,2,False,True
