label_a,label_b,true_cooccurrence_count,both_labels_detected_rate,at_least_one_label_missed_rate,both_labels_missed_rate
toxic,obscene,1614,0.6133828996282528,0.38661710037174724,0.17534076827757125
toxic,insult,1501,0.5316455696202531,0.4683544303797469,0.18920719520319787
obscene,insult,1247,0.5364875701684042,0.4635124298315958,0.30392943063352046
toxic,severe_toxic,321,0.2118380062305296,0.7881619937694704,0.06230529595015576
severe_toxic,obscene,303,0.22442244224422442,0.7755775577557755,0.1353135313531353
severe_toxic,insult,278,0.23381294964028776,0.7661870503597122,0.15827338129496402
toxic,identity_hate,269,0.137546468401487,0.862453531598513,0.2342007434944238
insult,identity_hate,227,0.14096916299559473,0.8590308370044053,0.41409691629955947
obscene,identity_hate,214,0.1261682242990654,0.8738317757009346,0.3878504672897196
toxic,threat,73,0.0821917808219178,0.9178082191780822,0.2328767123287671
severe_toxic,identity_hate,63,0.06349206349206349,0.9365079365079365,0.6031746031746031
threat,insult,47,0.06382978723404255,0.9361702127659575,0.3617021276595745
obscene,threat,46,0.06521739130434782,0.9347826086956522,0.32608695652173914
threat,identity_hate,12,0.0,1.0,0.8333333333333334
severe_toxic,threat,8,0.0,1.0,0.875
